"AmbientPOS Export"
"Export Branch",1
"Data From","2019-12-12 00:00:00"
"Data From","2019-12-12 23:59:59"
,ServiceNo,Status,"Date/Time Order","Menu Code",Type,"Menu Name",Quantity,"Unit Price",Topup,Discount,"Total Price","Line Amount",VAT,PaidBy,Cashier
97,9040,Normal,"12/12/2019 00:00:00",,,Shooting,1,0,,,0,0,0,Wahlap,
98,9043,Normal,"12/12/2019 00:00:00",,,Shooting,5,0,,,0,0,0,Wahlap,
99,9041,Normal,"12/12/2019 00:00:00",,,Shooting,3,0,,,0,0,0,Wahlap,
100,9044,Normal,"12/12/2019 00:00:00",,,Shooting,2,0,,,0,0,0,Wahlap,
101,9039,Normal,"12/12/2019 00:00:00",,,Shooting,2,0,,,0,0,0,Wahlap,
102,9042,Normal,"12/12/2019 00:00:00",,,Shooting,4,0,,,0,0,0,Wahlap,
103,9045,Normal,"12/12/2019 00:00:00",,,"Soccer Star",3,0,,,0,0,0,Wahlap,
104,9046,Normal,"12/12/2019 00:00:00",,,"Sound Voltex",6,0,,,0,0,0,Wahlap,
105,9049,Normal,"12/12/2019 00:00:00",,,"Sound Voltex",23,0,,,0,0,0,Wahlap,
106,9047,Normal,"12/12/2019 00:00:00",,,"Sound Voltex",3,0,,,0,0,0,Wahlap,
107,9048,Normal,"12/12/2019 00:00:00",,,"Sound Voltex",3,0,,,0,0,0,Wahlap,
108,9050,Normal,"12/12/2019 00:00:00",,,"Starry Hocky",1,0,,,0,0,0,Wahlap,
109,9051,Normal,"12/12/2019 00:00:00",,,"Strawberry Donut",1,0,,,0,0,0,Wahlap,
110,9052,Normal,"12/12/2019 00:00:00",,,"Sup. Marine",2,0,,,0,0,0,Wahlap,
111,9053,Normal,"12/12/2019 00:00:00",,,"Sup. Marine",4,0,,,0,0,0,Wahlap,
112,9054,Normal,"12/12/2019 00:00:00",,,"Super Big Rig",3,0,,,0,0,0,Wahlap,
113,9055,Normal,"12/12/2019 00:00:00",,,"Super bike",5,0,,,0,0,0,Wahlap,
114,9056,Normal,"12/12/2019 00:00:00",,,"Super bike",4,0,,,0,0,0,Wahlap,
115,9058,Normal,"12/12/2019 00:00:00",,,"Super MVP",9,0,,,0,0,0,Wahlap,
116,9059,Normal,"12/12/2019 00:00:00",,,"Super MVP",6,0,,,0,0,0,Wahlap,
117,9057,Normal,"12/12/2019 00:00:00",,,"Super MVP",6,0,,,0,0,0,Wahlap,
118,9060,Normal,"12/12/2019 00:00:00",,,"Super MVP",12,0,,,0,0,0,Wahlap,
119,9061,Normal,"12/12/2019 00:00:00",,,"Time Crissis",1,0,,,0,0,0,Wahlap,
120,9062,Normal,"12/12/2019 00:00:00",,,"Time Crissis",3,0,,,0,0,0,Wahlap,
121,9064,Normal,"12/12/2019 00:00:00",,,Tranformer,3,0,,,0,0,0,Wahlap,
122,9063,Normal,"12/12/2019 00:00:00",,,Tranformer,2,0,,,0,0,0,Wahlap,
123,9065,Normal,"12/12/2019 00:00:00",,,"Vegetable Fruits",3,0,,,0,0,0,Wahlap,
,,,,,,,1244,,0,0,16357.99783,0.00,0.00,,
