"HAHAMA-RBS5
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",,Profit,"Consumption amount","Out gift amount","Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
"Device Type: 42-Inch Crocodile Battle ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$516.00,0.00,,,,,516.00,$516.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$516.00,$0.00,$516.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Hungry Dog ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Hungry Dog","Game machine",0028,"Hungry Dog 1",,,$166.00,,,,,,166.00,$166.00,,,,,,,,,,$166.00,,$166.00,,,,"0.00 %",,,,,9,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$166.00,0.00,,,,,166.00,$166.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$166.00,$0.00,$166.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Ice Zombie ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ice Zombie","Return Tickets",0020,"Ice Zombie 1.1",,,$166.00,,,,,,166.00,$166.00,,,,,,,,,,$166.00,,$166.00,,,,"0.00 %",,,,,9,,,No
,,"Ice Zombie","Return Tickets",0021,"Ice Zombie 1.2",,,$242.00,,,,,,242.00,$242.00,,,,,,,,,,$242.00,,$242.00,,,,"0.00 %",,,,,13,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$408.00,0.00,,,,,408.00,$408.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$408.00,$0.00,$408.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Jet-Ski ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jet-Ski,"Game machine",009c,"Jet-Ski 1",,,$192.00,,,,,,192.00,$192.00,,,,,,,,,,$192.00,,$192.00,,,,"0.00 %",,,,,10,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$192.00,0.00,,,,,192.00,$192.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$192.00,$0.00,$192.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Jurassic Park SD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Jurassic Park SD","Game machine",0063,"Jurassic Park SD 1",,,$336.00,,,,,,336.00,$336.00,,,,,,,,,,$336.00,,$336.00,,,,"0.00 %",,,,,12,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$336.00,0.00,,,,,336.00,$336.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$336.00,$0.00,$336.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Ki-Di Car ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ki-Di Car","Game machine",009f,"Ki-Di Car 1",,,$420.00,,,,,,420.00,$420.00,,,,,,,,,,$420.00,,$420.00,,,,"0.00 %",,,,,22,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$420.00,0.00,,,,,420.00,$420.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$420.00,$0.00,$420.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Lane Master Asia Ver. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Lane Master Asia Ver.","Return Tickets",004b,"Lane Master 1.1",,,$398.00,,,,,,398.00,$398.00,,,,,,,,,,$398.00,,$398.00,,,,"0.00 %",,,,,21,,,No
,,"Lane Master Asia Ver.","Return Tickets",004c,"Lane Master 1.2",,,$168.00,,,,,,168.00,$168.00,,,,,,,,,,$168.00,,$168.00,,,,"0.00 %",,,,,9,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$566.00,0.00,,,,,566.00,$566.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$566.00,$0.00,$566.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Midnight ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midnight,"Game machine",005d,"Midnight5 1.1",,,$669.00,,,,,,669.00,$669.00,,,,,,,,,,$669.00,,$669.00,,,,"0.00 %",,,,,69,,,No
,,Midnight,"Game machine",005e,"Midnight5 1.2",,,$543.00,,,,,,543.00,$543.00,,,,,,,,,,$543.00,,$543.00,,,,"0.00 %",,,,,57,,,No
,,Midnight,"Game machine",005f,"Midnight5 1.3",,,$576.00,,,,,,576.00,$576.00,,,,,,,,,,$576.00,,$576.00,,,,"0.00 %",,,,,60,,,No
,,Midnight,"Game machine",0060,"Midnight5 1.4",,,$633.00,,,,,,633.00,$633.00,,,,,,,,,,$633.00,,$633.00,,,,"0.00 %",,,,,66,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$2,421.00",0.00,,,,,"2,421.00","$2,421.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$2,421.00",$0.00,"$2,421.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Mini Mario ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Mini Mario","Game machine",0099,"Mini Mario 1",,,$91.00,,,,,,91.00,$91.00,,,,,,,,,,$91.00,,$91.00,,,,"0.00 %",,,,,10,,,No
